TABLE_NAME	COLUMN_NAME	SEQ_IN_INDEX	NON_UNIQUE	INDEX_NAME
attendance_daily_record	status_changed_at	1	1	idx_adr_status_changed
attendance_daily_record	id	1	0	PRIMARY
attendance_daily_record	regularization_id	1	1	regularization_id
attendance_daily_record	rule_config_id	1	1	rule_config_id
attendance_daily_record	employee_id	1	0	uq_emp_date
attendance_daily_record	record_date	2	0	uq_emp_date
attendance_exception	employee_id	1	1	idx_att_exc_employee_date
attendance_exception	exception_date	2	1	idx_att_exc_employee_date
attendance_exception	branch_id	1	1	idx_att_exc_scope
attendance_exception	process_id	2	1	idx_att_exc_scope
attendance_exception	status	1	1	idx_att_exc_status
attendance_exception	severity	2	1	idx_att_exc_status
attendance_exception	id	1	0	PRIMARY
attendance_exception	source_module	1	0	uq_att_exc_source
attendance_exception	source_record_id	2	0	uq_att_exc_source
attendance_exception	exception_type	3	0	uq_att_exc_source
attendance_manual_override	created_at	1	1	idx_amo_created_at
attendance_manual_override	created_by	1	1	idx_amo_created_by
attendance_manual_override	attendance_date	1	1	idx_amo_date
attendance_manual_override	employee_id	1	1	idx_amo_employee
attendance_manual_override	payroll_month	1	1	idx_amo_payroll_month
attendance_manual_override	approval_status	1	1	idx_amo_status
attendance_manual_override	id	1	0	PRIMARY
attendance_reason_master	code	1	0	PRIMARY
attendance_reconciliation_record	rta_exception_label	1	1	idx_arr_rta_exception
attendance_reconciliation_record	roster_date	1	1	idx_recon_date
attendance_reconciliation_record	attendance_status	1	1	idx_recon_status
attendance_reconciliation_record	id	1	0	PRIMARY
attendance_reconciliation_record	employee_id	1	0	uq_recon_emp_date
attendance_reconciliation_record	roster_date	2	0	uq_recon_emp_date
attendance_regularization	reason_code	1	1	fk_reg_reason_code
attendance_regularization	dispute_type	1	1	idx_ar_dispute_type
attendance_regularization	payroll_impact	1	1	idx_ar_payroll_impact
attendance_regularization	employee_id	1	1	idx_reg_employee
attendance_regularization	status	1	1	idx_reg_status
attendance_regularization	id	1	0	PRIMARY
attendance_rule_config	active_status	1	1	idx_arc_active
attendance_rule_config	effective_from	2	1	idx_arc_active
attendance_rule_config	effective_to	3	1	idx_arc_active
attendance_rule_config	branch_id	1	1	idx_arc_branch
attendance_rule_config	designation_id	1	1	idx_arc_designation
attendance_rule_config	process_id	1	1	idx_arc_process
attendance_rule_config	id	1	0	PRIMARY
attrition_record	branch_id	1	1	branch_id
attrition_record	employee_id	1	1	employee_id
attrition_record	exit_date	1	1	idx_attr_date
attrition_record	process_id	1	1	idx_attr_process
attrition_record	id	1	0	PRIMARY
attrition_snapshot	branch_id	1	1	branch_id
attrition_snapshot	snapshot_month	1	1	idx_snap_month
attrition_snapshot	id	1	0	PRIMARY
attrition_snapshot	process_id	1	1	process_id
attrition_snapshot	snapshot_month	1	0	uq_snap_month_branch_process
attrition_snapshot	branch_id	2	0	uq_snap_month_branch_process
attrition_snapshot	process_id	3	0	uq_snap_month_branch_process
audit_action_log	action_type	1	1	idx_audit_action
audit_action_log	actor_user_id	1	1	idx_audit_actor
audit_action_log	entity_type	1	1	idx_audit_entity
audit_action_log	entity_id	2	1	idx_audit_entity
audit_action_log	module_key	1	1	idx_audit_module_time
audit_action_log	created_at	2	1	idx_audit_module_time
audit_action_log	request_id	1	1	idx_audit_request
audit_action_log	id	1	0	PRIMARY
audit_log	action_type	1	1	idx_audit_action
audit_log	actor_user_id	1	1	idx_audit_actor
audit_log	entity_type	1	1	idx_audit_entity
audit_log	entity_id	2	1	idx_audit_entity
audit_log	module_key	1	1	idx_audit_module_time
audit_log	created_at	2	1	idx_audit_module_time
audit_log	request_id	1	1	idx_audit_request
audit_log	id	1	0	PRIMARY
auth_inactive_access_log	login_at	1	1	idx_inactive_log_date
auth_inactive_access_log	employee_id	1	1	idx_inactive_log_emp
auth_inactive_access_log	id	1	0	PRIMARY
auth_otp_reset	phone	1	1	idx_otp_phone
auth_otp_reset	user_id	1	1	idx_otp_user
auth_otp_reset	id	1	0	PRIMARY
auth_password_history	user_id	1	1	idx_user_history
auth_password_history	changed_at	2	1	idx_user_history
auth_password_history	id	1	0	PRIMARY
auth_password_policy	id	1	0	PRIMARY
auth_password_policy	id	1	0	unique_policy
auth_password_reset	token_hash	1	1	idx_prt_token
auth_password_reset	user_id	1	1	idx_prt_user
auth_password_reset	id	1	0	PRIMARY
auth_password_reset	token_hash	1	0	token_hash
auth_password_reset_otp	expires_at	1	1	idx_otp_expires
auth_password_reset_otp	phone	1	1	idx_otp_phone
auth_password_reset_otp	id	1	0	PRIMARY
auth_refresh_token	token_hash	1	1	idx_rt_token
auth_refresh_token	user_id	1	1	idx_rt_user_active
auth_refresh_token	revoked	2	1	idx_rt_user_active
auth_refresh_token	id	1	0	PRIMARY
auth_refresh_token	token_hash	1	0	token_hash
auth_two_factor_challenge	expires_at	1	1	idx_2fa_expires
auth_two_factor_challenge	user_id	1	1	idx_2fa_user_status
auth_two_factor_challenge	status	2	1	idx_2fa_user_status
auth_two_factor_challenge	created_at	3	1	idx_2fa_user_status
auth_two_factor_challenge	id	1	0	PRIMARY
auth_user	email	1	0	email
auth_user	email	1	1	idx_auth_email
auth_user	password_changed_at	1	1	idx_password_changed_at
auth_user	id	1	0	PRIMARY
bank_master	active_status	1	1	idx_bank_active
bank_master	id	1	0	PRIMARY
bank_master	bank_name	1	0	uq_bank_name
bank_penny_drop_log	employee_id	1	1	idx_bpdl_employee
bank_penny_drop_log	penny_drop_status	1	1	idx_bpdl_status
bank_penny_drop_log	id	1	0	PRIMARY
benefit_enrollment	employee_id	1	1	idx_enroll_emp
benefit_enrollment	id	1	0	PRIMARY
benefit_enrollment	employee_id	1	0	uq_enrollment
benefit_enrollment	plan_id	2	0	uq_enrollment
benefit_plan	id	1	0	PRIMARY
billing_invoice	process_id	1	1	idx_inv_process
billing_invoice	invoice_ref	1	0	invoice_ref
billing_invoice	id	1	0	PRIMARY
billing_unit	contract_id	1	1	idx_bu_contract
billing_unit	process_id	1	1	idx_bu_process
billing_unit	id	1	0	PRIMARY
biometric_attendance_log	attendance_record_id	1	1	attendance_record_id
biometric_attendance_log	employee_id	1	1	idx_bio_emp_date
biometric_attendance_log	punch_date	2	1	idx_bio_emp_date
biometric_attendance_log	punch_date	1	1	idx_bio_log_date
biometric_attendance_log	employee_id	1	1	idx_bio_log_emp
biometric_attendance_log	source_system	1	1	idx_bio_source
biometric_attendance_log	id	1	0	PRIMARY
biometric_attendance_log	employee_id	1	0	uq_bio_emp_date
biometric_attendance_log	punch_date	2	0	uq_bio_emp_date
biometric_attendance_log	employee_id	1	0	uq_bio_emp_date_source
biometric_attendance_log	punch_date	2	0	uq_bio_emp_date_source
biometric_attendance_log	source_system	3	0	uq_bio_emp_date_source
biometric_device_master	branch_id	1	1	branch_id
biometric_device_master	device_uid	1	0	device_uid
biometric_device_master	device_uid	1	1	idx_bio_device_uid
biometric_device_master	id	1	0	PRIMARY
bonus_calculation	employee_id	1	1	idx_bonus_emp
bonus_calculation	id	1	0	PRIMARY
bonus_calculation	employee_id	1	0	uq_bonus
bonus_calculation	financial_year	2	0	uq_bonus
branch_head_assignments	branch_name	1	1	idx_branch
branch_head_assignments	branch_head_id	1	1	idx_branch_head
branch_head_assignments	id	1	0	PRIMARY
